 Ani, UM: Numar persoane, A  AGRICULTURA  SILVICULTURA SI PESCUIT, B  INDUSTRIA EXTRACTIVA, C  INDUSTRIA PRELUCRATOARE, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, F  CONSTRUCTII, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, H  TRANSPORT SI DEPOZITARE, I  HOTELURI SI RESTAURANTE, J  INFORMATII SI COMUNICATII, K  INTERMEDIERI FINANCIARE SI ASIGURARI, P  INVATAMANT, Q  SANATATE SI ASISTENTA SOCIALA, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, S  ALTE ACTIVITATI DE SERVICII
 Anul 2002, Numar persoane,155044,136170,1577487,119390,78047,301499,559733,294297,76143,87484,66160,390352,305809,24759,34098
 Anul 2003, Numar persoane,148455,127866,1563545,96746,81255,326388,585241,292970,81297,86142,68433,389549,305994,26390,35379
 Anul 2004, Numar persoane,140259,117578,1471871,91863,85395,323618,595271,275421,88772,85316,68278,381467,299418,27564,36561
 Anul 2005, Numar persoane,141165,114301,1406777,93817,84865,348793,674499,275728,89710,86498,77087,380827,314036,29580,36870
 Anul 2006, Numar persoane,131205,94520,1390171,89945,86658,353245,736400,276552,93272,96473,85209,382832,321108,32809,39554
 Anul 2007, Numar persoane,122915,84508,1380886,88678,94513,406864,795589,284251,106754,109410,96973,394240,335647,35351,39103
 Anul 2008, Numar persoane,104819,80762,1341847,83549,99453,457895,848646,284664,118306,121421,107717,393724,350278,40032,40464
 Anul 2009, Numar persoane,110079,74577,1118226,78042,100219,404231,816067,282137,118009,113806,106809,393646,377796,56401,43999
 Anul 2010, Numar persoane,95185,66750,999202,73210,98135,337061,752216,257706,108501,106174,100709,379795,365901,52868,38676
 Anul 2011, Numar persoane,97630,64449,1027729,70398,96485,334274,753421,256297,108071,109856,99246,364092,332652,51305,38751
 Anul 2012, Numar persoane,103663,63962,1064059,68282,99389,356279,758395,254697,115255,117930,96264,360429,321165,54031,39725
 Anul 2013, Numar persoane,103813,62253,1062632,61282,99145,345567,758797,255762,119801,125959,93285,358912,321489,56252,40611
 Anul 2014, Numar persoane,107721,61450,1084769,58039,98318,344742,755995,251166,128229,132611,90505,360844,323080,61829,44150
 Anul 2015, Numar persoane,112699,57863,1122321,55445,99314,354706,767525,256480,133848,143274,88421,357125,331792,62692,45900
 Anul 2016, Numar persoane,117046,54022,1145001,54234,99605,365298,799735,264682,151230,154520,90160,352742,345501,64450,47996
 Anul 2017, Numar persoane,121720,51447,1195118,52600,101810,370415,833932,276909,169837,170274,88591,352153,367231,68041,49426
 Anul 2018, Numar persoane,123821,49025,1205129,52672,102311,374966,861875,283853,180218,182282,90519,350812,381152,72347,52708
 Anul 2019, Numar persoane,126554,48313,1192979,52824,104594,395669,887387,290019,187057,193955,88945,349664,395462,74732,55637
 Anul 2020, Numar persoane,123570,46934,1116141,52217,101591,407209,871296,276200,169655,200052,87164,347295,404256,70258,52065
 Anul 2021, Numar persoane,122893,44977,1111763,52470,102984,419504,881630,281039,170790,211078,87761,348449,421170,70300,51208
 Anul 2022, Numar persoane,125324,44453,1113583,50623,104138,434465,899845,284619,186395,229841,86439,353869,431888,73024,51830
